"y","by","type","post_mean","post_prob_greater_0","cred_lower_025","cred_lower_975"
"Calories Per Day","Female","Capabilities",0.0190025933435373,0.61555,-0.120351393519384,0.152813785791599
"Calories Per Day","Female","Choice",0.00100669339464057,0.37415,-0.192883903019118,0.425961848660732
"Calories Per Day","Female","Functioning",0.0200092867381779,0.4863,-0.193102145725876,0.385003120962478
"Calories Per Day","Male","Capabilities",0.0573903360153535,0.759925,-0.10322320290766,0.219573278132727
"Calories Per Day","Male","Choice",-0.0584735889194869,0.2071,-0.205965404349507,0.16543442690693
"Calories Per Day","Male","Functioning",-0.00108325290413335,0.47565,-0.164375714408023,0.190470708955088
"Calories Per Day","Overall","Capabilities",0.0334177255848498,0.73315,-0.0773429846846933,0.140680508892733
"Calories Per Day","Overall","Choice",-0.0297838858347173,0.293475,-0.186447227465636,0.255980777429753
"Calories Per Day","Overall","Functioning",0.00363383975013244,0.457825,-0.153785800349679,0.240371003344717
"Calories from Animals Per Day","Female","Capabilities",0.259302196728785,0.98685,0.0306136071931005,0.4884510932678
"Calories from Animals Per Day","Female","Choice",0.290393984214141,0.98795,0.0346817603771375,0.58160784538237
"Calories from Animals Per Day","Female","Functioning",0.549696180942925,0.999925,0.24667118652032,0.871618395019561
"Calories from Animals Per Day","Male","Capabilities",0.128941352339511,0.823575,-0.139477492296226,0.397474035014332
"Calories from Animals Per Day","Male","Choice",0.519403552660904,0.9987,0.160324278180836,0.940911311198935
"Calories from Animals Per Day","Male","Functioning",0.648344905000416,0.999325,0.235942672838403,1.09877591099889
"Calories from Animals Per Day","Overall","Capabilities",0.210349883303484,0.989625,0.0322013955616017,0.38873100787532
"Calories from Animals Per Day","Overall","Choice",0.367191227693488,0.999825,0.151931895989206,0.608251638683873
"Calories from Animals Per Day","Overall","Functioning",0.577541110996972,1,0.329716337336071,0.84216465936057
"Calories from Fruits and Vegetables Per Day","Female","Capabilities",0.21609775714544,0.968225,-0.0107063411890718,0.440978658801363
"Calories from Fruits and Vegetables Per Day","Female","Choice",0.13484765858492,0.7865,-0.146706490371938,0.518338435364661
"Calories from Fruits and Vegetables Per Day","Female","Functioning",0.35094541573036,0.9672,-0.023474344523136,0.789670398125083
"Calories from Fruits and Vegetables Per Day","Male","Capabilities",0.431168448866808,0.998975,0.152913048774629,0.710738097153183
"Calories from Fruits and Vegetables Per Day","Male","Choice",0.178020272022891,0.81635,-0.154421613760132,0.638779513089697
"Calories from Fruits and Vegetables Per Day","Male","Functioning",0.6091887208897,0.997225,0.161190605776145,1.14112676639935
"Calories from Fruits and Vegetables Per Day","Overall","Capabilities",0.296859798531902,0.99955,0.119971222617761,0.474289583464184
"Calories from Fruits and Vegetables Per Day","Overall","Choice",0.143329803850737,0.8619,-0.0939928548398467,0.444753173540748
"Calories from Fruits and Vegetables Per Day","Overall","Functioning",0.440189602382639,0.99835,0.136919427818555,0.790546600704934
"Calories from Micronutrients Per Day","Female","Capabilities",-0.0899457106263242,0.186325,-0.286653829380446,0.107612657596744
"Calories from Micronutrients Per Day","Female","Choice",0.479613326904501,1,0.223493511074819,0.795901211333869
"Calories from Micronutrients Per Day","Female","Functioning",0.389667616278177,0.99555,0.0919661245975973,0.728913754534197
"Calories from Micronutrients Per Day","Male","Capabilities",-0.262915585463638,0.0183,-0.511906355006389,-0.0162429270427626
"Calories from Micronutrients Per Day","Male","Choice",0.598949145206413,0.999975,0.262782515108607,1.01423866493884
"Calories from Micronutrients Per Day","Male","Functioning",0.336033559742775,0.951875,-0.0558558069012053,0.783050813223191
"Calories from Micronutrients Per Day","Overall","Capabilities",-0.15489830866939,0.026725,-0.31199398974913,0.00191907831400729
"Calories from Micronutrients Per Day","Overall","Choice",0.51718602318179,1,0.298905978839865,0.774322510322898
"Calories from Micronutrients Per Day","Overall","Functioning",0.362287714512399,0.998775,0.116461081211571,0.636081002904758
"diversity","Female","Capabilities",0.270592217322349,0.98035,0.0156463110584301,0.494175094996624
"diversity","Female","Choice",0.0862151617359944,0.824675,-0.0352039108405948,0.506888717909936
"diversity","Female","Functioning",0.356807379058343,0.997325,0.112773791168459,0.651307765867691
"diversity","Male","Capabilities",0.196508712050061,0.94575,-0.0488939897678909,0.420751643678426
"diversity","Male","Choice",0.0375944349576657,0.727625,-0.0808721209594571,0.260098836561322
"diversity","Male","Functioning",0.234103147007726,0.984275,0.0201473639950891,0.447140267473751
"diversity","Overall","Capabilities",0.242772828864687,0.988525,0.035137559997447,0.420256173807201
"diversity","Overall","Choice",0.0632565394753036,0.815425,-0.0332504119955985,0.344308930442403
"diversity","Overall","Functioning",0.306029368339991,0.999175,0.123827445355079,0.495599246843387
"stunting","Female","Capabilities",-0.508251078888666,0.02735,-1.05745517372149,0.0148120932168869
"stunting","Female","Choice",0.0284874568166702,0.7127,-0.101646605968005,0.252813210318111
"stunting","Female","Functioning",-0.479763622071996,0.0284,-0.994289777272938,0.0148846462738453
"stunting","Male","Capabilities",-0.398062530424574,0.0756,-0.969073461889098,0.158158695971277
"stunting","Male","Choice",0.0469676910154871,0.739,-0.0908783212473857,0.277528676776736
"stunting","Male","Functioning",-0.351094839409087,0.08665,-0.863915565988327,0.160797933137111
"stunting","Overall","Capabilities",-0.458971351884871,0.013,-0.884638336044522,-0.0530003339463611
"stunting","Overall","Choice",0.0337387365345613,0.744,-0.0668473372476656,0.222845363486443
"stunting","Overall","Functioning",-0.42523261535031,0.0133,-0.81094222716937,-0.0489947134009372
"underweight","Female","Capabilities",-0.359893199524308,0.0404,-0.755937724707817,0.0469291003701295
"underweight","Female","Choice",0.0301033670244582,0.786575,-0.0847487914377355,0.170680204564956
"underweight","Female","Functioning",-0.329789832499849,0.043475,-0.696000163646868,0.0500202188066231
"underweight","Male","Capabilities",-0.191038112330258,0.178625,-0.600451760027958,0.223364940925939
"underweight","Male","Choice",0.0388621605651857,0.7933,-0.0997796418597937,0.182932039142014
