hhcode,year,location,expenditure,food,micro,education1,education2,health,diversity,stunting,wasting,schooling,enrolled,illness1,illness2,treated,head_age,elderly,head_sex,head_married,head_educ,head_sick,ovc,hhsize,age_5under,age_0617,age_1834,age_3549,age_5064,depend_ratio,sex_ratio,adult_educ,non_active,initial_exp,agriculture,salaried,casual,self,transfers,rooms,land,livestock,water,bike,radio,phone,mosquito,road,market,communication,electricity,district1,district2,district3,district4,district5,district6,sample_nutrition,sample_education
101000001,0,101,8479.529,6023.03,1385.6,0,0,50,11,,,,,89.0423,66.66667,1,76,1,1,0,0,1,1,3,0,1,0,1,0,.6666667,.3333333,0,1,8479.529,1,0,0,0,0,2,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0
101000001,1,101,,,,,,,,,,,,,,1,76,1,1,0,0,1,1,3,0,1,0,1,0,.6666667,.3333333,0,1,8479.529,1,0,0,0,0,2,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0
101000002,0,101,9864.093,4858.26,1952.83,150,112.5,160,11,-.325609,.3234818,.161468,100,100,100,1,41,0,1,0,7,0,0,7,2,2,2,1,0,.5714286,.7142857,0,2,9864.093,0,0,0,1,0,2,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1
101000002,1,101,,,,,,,,,,,,,,1,41,0,1,0,7,0,0,7,2,2,2,1,0,.5714286,.7142857,0,2,9864.093,0,0,0,1,0,2,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1
101000003,0,101,11343.46,11314.29,6733.15,0,16.66667,0,11,-1.397539,-.2516921,.9381425,100,100,100,1,45,0,0,1,15,0,3,7,1,2,2,2,0,.4285714,.4285714,4,3,11343.46,0,1,0,0,0,3,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1
101000003,1,101,41608.15,23040.37,14433.33,122.3242,101.9368,0,12,,,-.2615652,100,100,75,1,45,0,0,1,15,0,3,7,1,2,2,2,0,.4285714,.4285714,4,3,11343.46,0,1,0,0,0,3,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1
101000004,0,101,9825.957,5901.79,1125.8,25,87.5,246.6667,8,,,1.195065,50,92.32961,83.33333,1,42,0,1,0,7,1,2,6,0,2,3,1,0,.3333333,.6666667,3,4,9825.957,1,0,0,0,0,2,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1
101000004,1,101,11287.49,5256.911,900.4281,1529.052,158.002,285.423,8,,,,,97.85714,66.66667,1,42,0,1,0,7,1,2,6,0,2,3,1,0,.3333333,.6666667,3,4,9825.957,1,0,0,0,0,2,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1
101000005,0,101,7488.56,4468.56,952.6,400,243.3333,266.6667,7,2.043543,-.9178007,.4589194,100,95.30384,85.71429,1,45,0,1,0,0,0,4,9,2,2,4,1,0,.4444444,.8888889,1,5,7488.56,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1
101000005,1,101,20481.38,13599.11,2317.278,305.8104,313.4557,2731.906,10,,,-1.437777,0,85.71429,80,1,45,0,1,0,0,0,4,9,2,2,4,1,0,.4444444,.8888889,1,5,7488.56,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1
101000006,0,101,12088.32,3048.32,995.9,2166.667,1325,450,8,-1.566121,-.7586052,4.852325,100,100,100,1,53,0,0,1,7,0,2,8,1,2,3,1,1,.375,.5,4,5,12088.32,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1
101000006,1,101,,,,,,,,,,,,,,1,53,0,0,1,7,0,2,8,1,2,3,1,1,.375,.5,4,5,12088.32,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1
101000007,0,101,10263.84,3022.34,948.27,0,833.1667,0,10,,,1.074204,100,100,100,1,47,0,1,0,7,0,3,4,0,3,0,1,0,.75,1,0,0,10263.84,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1
101000007,1,101,7215.149,5611.786,2396.728,0,0,71.35576,10,,,-.3523817,100,95,80,1,47,0,1,0,7,0,3,4,0,3,0,1,0,.75,1,0,0,10263.84,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1
101000008,0,101,10855.32,8248.65,1840.25,0,291.6667,0,10,,,.6201584,100,100,100,1,66,1,1,0,7,0,3,5,0,3,1,0,0,.8,.4,0,1,10855.32,1,0,0,1,0,3,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1
101000008,1,101,12843.66,6448.654,1363.884,1044.852,716.106,40.77472,9,,,1.194385,100,100,80,1,66,1,1,0,7,0,3,5,0,3,1,0,0,.8,.4,0,1,10855.32,1,0,0,1,0,3,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1
101000009,0,101,3499.333,1948.5,216.5,70.83334,416.6667,23.33333,6,2.696066,.347735,-.2206767,100,100,100,1,58,0,1,0,5,0,3,4,1,2,0,0,1,.75,.75,0,0,3499.333,1,0,0,0,0,3,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1
101000009,1,101,17760.75,12857.58,3019.083,1131.498,1020.387,203.8736,11,-.7143369,.1239079,1.761754,100,100,100,1,58,0,1,0,5,0,3,4,1,2,0,0,1,.75,.75,0,0,3499.333,1,0,0,0,0,3,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1
101000012,0,101,19502.5,7798.33,3593.9,7250,25,166.6667,12,,,1.066322,66.66667,93.42538,66.66667,1,51,0,0,0,4,0,3,6,0,3,2,0,1,.5,.8333333,1,2,19502.5,0,1,0,0,0,2,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1
101000012,1,101,20794.91,7269.633,1840.581,519.8777,137.6147,20.38736,10,,,1.545761,100,99.4898,71.42857,1,51,0,0,0,4,0,3,6,0,3,2,0,1,.5,.8333333,1,2,19502.5,0,1,0,0,0,2,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1
101000013,0,101,16249.27,5282.6,1558.8,366.6667,6416.667,700,8,-3.394429,.1778196,,,84.87837,66.66667,1,46,0,1,0,12,1,3,9,4,1,3,1,0,.5555556,.4444444,4,1,16249.27,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0
101000013,1,101,3150.082,2343.761,953.3945,0,61.16208,0,8,,-2.986115,,,78.57143,50,1,46,0,1,0,12,1,3,9,4,1,3,1,0,.5555556,.4444444,4,1,16249.27,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0
101000016,0,101,5973.777,3104.61,389.7,366.6667,162.5,0,8,,,1.090911,100,100,100,1,45,0,1,0,2,0,2,3,0,2,0,1,0,.6666667,.3333333,0,1,5973.777,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1
101000016,1,101,3975.943,1456.575,211.8654,0,61.16208,0,7,,,1.485972,100,100,100,1,45,0,1,0,2,0,2,3,0,2,0,1,0,.6666667,.3333333,0,1,5973.777,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1
101000017,0,101,4424.977,2628.31,173.2,0,216.6667,0,9,-2.664956,2.082888,1.646082,100,100,100,1,73,1,1,0,0,0,4,6,1,3,0,0,1,.8333333,.6666667,0,1,4424.977,0,0,1,0,0,4,3.2,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1
101000017,1,101,4756.331,2701.284,582.6299,0,30.58104,40.77472,8,,,.8465065,100,100,100,1,73,1,1,0,0,0,4,6,1,3,0,0,1,.8333333,.6666667,0,1,4424.977,0,0,1,0,0,4,3.2,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1
101000018,0,101,7258.8,2641.3,887.65,0,0,66.66666,10,1.632788,2.351154,,,100,100,1,53,0,1,0,4,0,2,3,1,1,0,0,1,.6666667,.3333333,0,1,7258.8,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0
101000018,1,101,8364.924,4647.798,1032.844,660.0408,458.7156,101.9368,10,-.9836475,-.0191423,,,98.57143,40,1,53,0,1,0,4,0,2,3,1,1,0,0,1,.6666667,.3333333,0,1,7258.8,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0
101000019,0,101,4995.473,3282.14,1108.48,0,0,73.33334,11,,,.359607,0,69.31843,50,1,70,1,1,0,0,1,2,4,1,1,1,0,0,.75,.5,1,1,4995.473,1,0,0,0,0,1,2,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1
101000019,1,101,,,,,,,,,,,,,,1,70,1,1,0,0,1,2,4,1,1,1,0,0,.75,.5,1,1,4995.473,1,0,0,0,0,1,2,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,1
101000020,0,101,16189.45,4182.78,450.32,0,0,0,9,,,.7763392,100,97.53452,75,1,70,1,1,1,0,0,3,4,0,3,0,0,0,1,.5,0,0,16189.45,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1
101000020,1,101,3742.711,1853.823,410.4893,20.38736,5.09684,8.154943,9,,,.8594237,100,91.96429,50,1,70,1,1,1,0,0,3,4,0,3,0,0,0,1,.5,0,0,16189.45,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1
101000021,0,101,5512.854,2139.02,303.1,300,125.8333,33.33333,9,-1.536057,.0607906,,,67.12689,75,1,61,0,1,0,0,1,2,4,1,1,1,0,1,.5,1,0,2,5512.854,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0
101000021,1,101,10070.75,3429.572,1032.844,203.8736,107.0336,4424.057,8,-1.542094,-1.203438,,,96.42857,0,1,61,0,1,0,0,1,2,4,1,1,1,0,1,.5,1,0,2,5512.854,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0
101000022,0,101,5506.843,2368.51,303.1,600,108.3333,70,5,-.6642417,-.9980038,,,100,100,1,58,0,1,0,0,0,6,10,4,2,3,0,1,.6,.4,2,3,5506.843,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0
101000022,1,101,6081.831,3871.841,370.7645,1299.694,1.019368,163.0989,6,-1.213751,-.4915965,,,100,90,1,58,0,1,0,0,0,6,10,4,2,3,0,1,.6,.4,2,3,5506.843,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0
101000023,0,101,7537.934,2684.6,433,0,383.3333,116.6667,5,,,.9605547,80,93.42538,85.71429,1,52,0,1,0,0,1,5,7,0,5,1,0,1,.7142857,.4285714,0,2,7537.934,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1
101000023,1,101,9356.84,3495.78,741.5291,764.526,563.2008,10.19368,7,,,.9951729,100,100,100,1,52,0,1,0,0,1,5,7,0,5,1,0,1,.7142857,.4285714,0,2,7537.934,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1
101000024,0,101,13930.22,6213.55,736.1,2750,1333.333,333.3333,8,-1.612298,.4096763,1.103815,75,96.71269,88.88889,1,52,0,1,0,2,1,4,10,3,4,2,0,1,.7,.6,2,2,13930.22,0,1,0,0,1,3,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1
