hhcode,year,location,expenditure,food,micro,education1,education2,health,diversity,stunting,wasting,underweight,schooling,enrolled,illness1,illness2,large,small,poultry,animals,treated,head_age,elderly,head_sex,head_married,head_educ,head_sick,ovc,hhsize,age_5under,age_0617,age_1834,age_3549,age_5064,depend_ratio,sex_ratio,adult_educ,non_active,initial_exp,agriculture,salaried,casual,self,transfers,rooms,land,livestock,water,bike,radio,phone,mosquito,road,market,communication,electricity,district1,district2,district3,district4,district5,district6,sample_nutrition,sample_education
101000001,0,101,8479.529,71.03024,1950.719,0,0,50,11,,,,0.7135881,0,89.0423,66.66667,0,0,2,2,1,76,1,1,0,0,1,1,3,0,1,0,1,0,0.6666667,0.3333333,0,1,8479.529,1,0,0,0,0,2,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1
101000001,1,101,,,,,,,,,,,,,,,,,,,1,76,1,1,0,0,1,1,3,0,1,0,1,0,0.6666667,0.3333333,0,1,8479.529,1,0,0,0,0,2,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1
101000002,0,101,9864.093,49.25197,3964.979,150,112.5,160,11,-0.4916724,0.5085117,0.0752545,0.161468,100,100,100,0,0,0,0,1,41,0,1,0,7,0,0,7,2,2,2,1,0,0.5714286,0.7142857,0,2,9864.093,0,0,0,1,0,2,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1
101000002,1,101,,,,,,,,,,,,,,,,,,,1,41,0,1,0,7,0,0,7,2,2,2,1,0,0.5714286,0.7142857,0,2,9864.093,0,0,0,1,0,2,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1
101000003,0,101,11343.46,99.74287,6750.507,0,16.66667,0,11,-1.595419,0.1938046,-0.8750167,0.9381425,100,100,100,0,0,0,0,1,45,0,0,1,15,0,3,7,1,2,2,2,0,0.4285714,0.4285714,4,3,11343.46,0,1,0,0,0,3,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1
101000003,1,101,41608.15,55.37465,26064.88,122.3242,101.9368,0,12,,,,0.7163472,100,100,75,0,0,0,0,1,45,0,0,1,15,0,3,7,1,2,2,2,0,0.4285714,0.4285714,4,3,11343.46,0,1,0,0,0,3,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1
101000004,0,101,9825.957,60.06326,1874.357,25,87.5,246.6667,8,,,,1.195065,50,92.32961,83.33333,0,0,0,0,1,42,0,1,0,7,1,2,6,0,2,3,1,0,0.3333333,0.6666667,3,4,9825.957,1,0,0,0,0,2,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1
101000004,1,101,11287.49,46.57288,1933.374,1529.052,158.002,285.423,8,,,,0.8896204,,97.85714,66.66667,0,0,0,0,1,42,0,1,0,7,1,2,6,0,2,3,1,0,0.3333333,0.6666667,3,4,9825.957,1,0,0,0,0,2,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1
101000005,0,101,7488.56,59.67182,1596.398,400,243.3333,266.6667,7,1.896731,-0.4891072,0.6863055,0.4589194,100,95.30384,85.71429,0,0,0,0,1,45,0,1,0,0,0,4,9,2,2,4,1,0,0.4444444,0.8888889,1,5,7488.56,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1
101000005,1,101,20481.38,66.39745,3490.011,305.8104,313.4557,2731.906,10,,,,-1.314986,0,85.71429,80,0,0,0,0,1,45,0,1,0,0,0,4,9,2,2,4,1,0,0.4444444,0.8888889,1,5,7488.56,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1
101000006,0,101,12088.32,25.21707,3949.309,2166.667,1325,450,8,-1.465403,-0.5894421,-1.342701,4.852325,100,100,100,0,0,0,0,1,53,0,0,1,7,0,2,8,1,2,3,1,1,0.375,0.5,4,5,12088.32,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1
101000006,1,101,,,,,,,,,,,,,,,,,,,1,53,0,0,1,7,0,2,8,1,2,3,1,1,0.375,0.5,4,5,12088.32,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1
101000007,0,101,10263.84,29.44649,3220.316,0,833.1667,0,10,,,,1.074204,100,100,100,0,0,0,0,1,47,0,1,0,7,0,3,4,0,3,0,1,0,0.75,1,0,0,10263.84,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1
101000007,1,101,7215.149,77.77782,3081.506,0,0,71.35576,10,,,,-0.2618793,100,95,80,0,0,0,0,1,47,0,1,0,7,0,3,4,0,3,0,1,0,0.75,1,0,0,10263.84,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1
101000008,0,101,10855.32,75.98719,2421.79,0,291.6667,0,10,,,,0.6201584,100,100,100,0,0,0,0,1,66,1,1,0,7,0,3,5,0,3,1,0,0,0.8,0.4,0,1,10855.32,1,0,0,1,0,3,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1
