"y","by","type","post_mean","post_prob_greater_0","cred_lower_025","cred_lower_975"
"diversity","Female","Capabilities",0.27600340091306,0.963825,-0.026704015027048,0.540318416582802
"diversity","Female","Choice",0.087244303898943,0.7127,-0.0915148735877268,0.59926788584585
"diversity","Female","Functioning",0.363247704812003,0.992675,0.0800220480107875,0.741607894275425
"diversity","Male","Capabilities",0.210612464176386,0.913125,-0.101158805747986,0.51264861025936
"diversity","Male","Choice",0.0206203100928518,0.546875,-0.183119852160693,0.35950354021785
"diversity","Male","Functioning",0.231232774269237,0.9482,-0.0469072017792002,0.539041964056602
"diversity","Overall","Capabilities",0.249747001840973,0.9768,0.00520212205602799,0.46068297726839
"diversity","Overall","Choice",0.0604304143269389,0.6801,-0.097299176627411,0.435079760184105
"diversity","Overall","Functioning",0.310177416167912,0.99685,0.0969889317359185,0.572992771691595
"micro","Female","Capabilities",0.0800386119127306,0.806875,-0.0990832413661448,0.262616404264517
"micro","Female","Choice",0.0881729985497558,0.8192,-0.0872506787387891,0.334963936987796
"micro","Female","Functioning",0.168211610462486,0.89015,-0.0941518882756277,0.475587187870329
"micro","Male","Capabilities",0.105243846637799,0.8272,-0.115478024906496,0.326716329754694
"micro","Male","Choice",0.0828239286659628,0.844275,-0.0806165706110448,0.314117898344318
"micro","Male","Functioning",0.188067775303762,0.90125,-0.0976968247552338,0.501403986653893
"micro","Overall","Capabilities",0.09015926065511,0.8973,-0.0517933427067013,0.230682669037949
"micro","Overall","Choice",0.083023263110319,0.8739,-0.0514889298886157,0.265206436166926
"micro","Overall","Functioning",0.173182523765429,0.950925,-0.0336211430378889,0.403950080708381
"stunting","Female","Capabilities",-0.702236726830598,0.022225,-1.41557472045013,-0.018099677985693
"stunting","Female","Choice",0.0433707265601452,0.70925,-0.184861388824761,0.394820846890591
"stunting","Female","Functioning",-0.658866000270453,0.021625,-1.30125024189945,-0.0255978602543584
"stunting","Male","Capabilities",-0.196843382627524,0.2885,-0.89010834472417,0.492070888985539
"stunting","Male","Choice",0.059815280959608,0.76995,-0.109901814517696,0.300874485440233
"stunting","Male","Functioning",-0.137028101667916,0.3359,-0.776480993811231,0.504333332136632
"stunting","Overall","Capabilities",-0.460247540835059,0.043,-0.984087394797248,0.0649069769412694
"stunting","Overall","Choice",0.0477424060550458,0.7529,-0.108149795744629,0.284050955942641
"stunting","Overall","Functioning",-0.412505134780013,0.04375,-0.876615555071133,0.0621331463965957
"wasting","Female","Capabilities",0.056200567531805,0.59535,-0.388896379577525,0.510991635483443
"wasting","Female","Choice",0.0394357754534332,0.8228,-0.0696032704750419,0.208995075834449
"wasting","Female","Functioning",0.0956363429852382,0.665425,-0.332707759664782,0.54411242262665
"wasting","Male","Capabilities",0.175730215064128,0.773375,-0.289864410174858,0.630853278219137
"wasting","Male","Choice",0.0985741327996217,0.8946,-0.0510679976135969,0.360389932823285
"wasting","Male","Functioning",0.27430434786375,0.89015,-0.165512085006841,0.720102652144562
"wasting","Overall","Capabilities",0.113432983511265,0.748425,-0.215912004326452,0.44638398468482
"wasting","Overall","Choice",0.0582778199606996,0.8806,-0.0407256294974135,0.224605847581276
"wasting","Overall","Functioning",0.171710803471964,0.859175,-0.139072505661467,0.491000107167076
"underweight","Female","Capabilities",-0.269176412561083,0.156125,-0.807230048471835,0.258350180434795
"underweight","Female","Choice",0.0483479329143758,0.734775,-0.16807085459626,0.323118899328038
"underweight","Female","Functioning",-0.220828479646707,0.179175,-0.701480584213442,0.259004739049488
"underweight","Male","Capabilities",0.0746058810265824,0.6122,-0.432668947451721,0.586511434905304
"underweight","Male","Choice",0.037074373221076,0.75765,-0.0936931650061828,0.198594480468813
"underweight","Male","Functioning",0.111680254247658,0.67455,-0.357370746794582,0.591932390173069
"underweight","Overall","Capabilities",-0.104568788936481,0.29645,-0.49436814866704,0.278136820446715
"underweight","Overall","Choice",0.0424907518791118,0.76965,-0.0891184813346728,0.212025303302584
"underweight","Overall","Functioning",-0.0620780370573688,0.359075,-0.403898383712924,0.28407891455495
